time_s,Center_WJ,Center_ATF,Tip_WJ,Tip_ATF
45.0,76.19529640578581,76.59666387341976,77.50434752628807,76.97358677322417
90.0,80.39486953571168,81.22634695133858,82.23815091566377,81.40789587047045
135.0,83.5813660653449,84.7682496078937,85.713879826781,84.69060986078377
180.0,86.17179581938194,87.64207404619152,88.5004510957907,87.32463428449273
225.0,88.37944931271744,90.08137807493078,90.85904559213829,89.5499451578984
270.0,90.32209571408508,92.22031063212238,92.9261865837028,91.49627900841726
315.0,92.06872385983367,94.1385181931028,94.77972630760966,93.23878340321386
360.0,93.66200092936202,95.88527107364442,96.4671388955586,94.8234450927651
405.0,95.12974299956586,97.4925090831646,98.01912839137793,96.27993300016239
450.0,96.49105151081119,98.98199803170758,99.45667840414924,97.62842651612749
495.0,97.75972081642986,100.36933548081785,100.79489504551857,98.88337727427917
540.0,98.94619036652165,101.66624460235252,102.04518378385413,100.05564492241811
585.0,100.05869467471638,102.88191984230173,103.21652276044453,101.15374436589974
630.0,101.10395914535087,104.0238367048989,104.31623004252823,102.18459480865418
675.0,102.0876329600528,105.09825259913126,105.35043994317462,103.15398290573354
720.0,103.01456658993114,106.1105260494647,106.32440820610302,104.06685825013864
765.0,103.88899563064487,107.0653269483718,107.242714281573,104.92752837636557
810.0,104.71466693676871,107.96678002281101,108.10940028505297,105.73979215505064
855.0,105.49492835518767,108.81856636846392,108.92807000667874,106.50703445538197
900.0,106.23279486305658,109.6239979316365,109.70196199680946,107.23229576589979
