"Study title: SC_e10_JFT145_WireTemp_7_NoLoad"
"Torque: Nm <Value> "
"Case Range","1","","","2","","","3","","","4","",""
"Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque"
"0","0.00142456542156","","0","0","","0","0","","0","0.00142456542166"
"0.000125","-11.2984919254","","4.16666666667e-05","0","","2.5e-05","0","","1.78571428571e-05","-11.3386194333"
"0.00025","-36.3250440681","","8.33333333333e-05","0","","5e-05","0","","3.57142857143e-05","-36.4577337244"
"0.000375","-39.1441609336","","0.000125","0","","7.5e-05","0","","5.35714285714e-05","-39.405683336"
"0.0005","-22.5415885139","","0.000166666666667","0","","0.0001","0","","7.14285714286e-05","-22.9602442048"
"0.000625","-0.366382756907","","0.000208333333333","0","","0.000125","0","","8.92857142857e-05","-0.96599313235"
"0.00075","21.9198304239","","0.00025","0","","0.00015","0","","0.000107142857143","21.3295964323"
"0.000875","38.6731673516","","0.000291666666667","0","","0.000175","0","","0.000125","38.1777431474"
"0.001","35.9887148899","","0.000333333333333","0","","0.0002","0","","0.000142857142857","35.5612122614"
"0.001125","11.1434191718","","0.000375","0","","0.000225","0","","0.000160714285714","10.8912186821"
"0.00125","-0.039418436515","","0.000416666666667","0","","0.00025","0","","0.000178571428571","-0.129879094413"
"0.001375","-11.3016901024","","0.000458333333333","0","","0.000275","0","","0.000196428571429","-11.4249620936"
"0.0015","-36.3180631843","","0.0005","0","","0.0003","0","","0.000214285714286","-36.6324746568"
"0.001625","-39.1076931303","","0.000541666666667","0","","0.000325","0","","0.000232142857143","-39.5912323275"
"0.00175","-22.5013412219","","0.000583333333333","0","","0.00035","0","","0.00025","-23.2024177189"
"0.001875","-0.342447049671","","0.000625","0","","0.000375","0","","0.000267857142857","-1.30936442185"
"0.002","21.9131105298","","0.000666666666667","0","","0.0004","0","","0.000285714285714","20.9909016727"
"0.002125","38.6200848106","","0.000708333333333","0","","0.000425","0","","0.000303571428571","37.8606058814"
"0.00225","35.9185647301","","0.00075","0","","0.00045","0","","0.000321428571429","35.2735974215"
"0.002375","11.0972896807","","0.000791666666667","0","","0.000475","0","","0.000339285714286","10.6678631524"
"0.0025","-0.0446716406962","","0.000833333333333","0","","0.0005","0","","0.000357142857143","-0.198034793733"
"0.002625","-11.2824383892","","0.000875","0","","0.000525","0","","0.000375","-11.3234570796"
"0.00275","-36.3047253519","","0.000916666666667","0","","0.00055","0","","0.000392857142857","-36.3715776473"
"0.002875","-39.121669124","","0.000958333333333","0","","0.000575","0","","0.000410714285714","-39.2229929709"
"0.003","-22.5269985317","","0.001","0","","0.0006","0","","0.000428571428571","-22.7455103406"
"0.003125","-0.360443702221","","0.00104166666667","0","","0.000625","0","","0.000446428571429","-0.790784650071"
"0.00325","21.9223461426","","0.00108333333333","0","","0.00065","0","","0.000464285714286","21.5124877927"
"0.003375","38.6738681171","","0.001125","0","","0.000675","0","","0.000482142857143","38.3615002221"
"0.0035","35.9885099474","","0.00116666666667","0","","0.0007","0","","0.0005","35.6767402122"
"0.003625","11.1410778278","","0.00120833333333","0","","0.000725","0","","0.000517857142857","10.8685647951"
"0.00375","-0.0415472601298","","0.00125","0","","0.00075","0","","0.000535714285714","-0.228108619814"
"0.003875","-11.3028265972","","0.00129166666667","0","","0.000775","0","","0.000553571428571","-11.544514495"
"0.004","-36.3193310817","","0.00133333333333","0","","0.0008","0","","0.000571428571429","-36.7318363348"
"0.004125","-39.1101512009","","0.001375","0","","0.000825","0","","0.000589285714286","-39.6231687745"
"0.00425","-22.5042501429","","0.00141666666667","0","","0.00085","0","","0.000607142857143","-23.1365386837"
"0.004375","-0.349237947779","","0.00145833333333","0","","0.000875","0","","0.000625","-1.1439134689"
"0.0045","21.9024119208","","0.0015","0","","0.0009","0","","0.000642857142857","21.2016936708"
"0.004625","38.6145638175","","0.00154166666667","0","","0.000925","0","","0.000660714285714","38.0983637976"
"0.00475","35.9153794842","","0.00158333333333","0","","0.00095","0","","0.000678571428571","35.4772832122"
"0.004875","11.0956972991","","0.001625","0","","0.000975","0","","0.000696428571429","10.7591659899"
"0.005","-0.0453095769251","","0.00166666666667","0","","0.001","0","","0.000714285714286","-0.211113730058"
"0.005125","-11.2811372332","","0.00170833333333","0","","0.001025","0","","0.000732142857143","-11.4380033381"
"0.00525","-36.3015217057","","0.00175","0","","0.00105","0","","0.00075","-36.5706499575"
"0.005375","-39.1199134437","","0.00179166666667","0","","0.001075","0","","0.000767857142857","-39.437833802"
"0.0055","-22.5256314598","","0.00183333333333","0","","0.0011","0","","0.000785714285714","-22.9330122787"
"0.005625","-0.36524820167","","0.001875","0","","0.001125","0","","0.000803571428571","-0.940451498293"
"0.00575","21.9143629772","","0.00191666666667","0","","0.00115","0","","0.000821428571429","21.4247266635"
"0.005875","38.6659421286","","0.00195833333333","0","","0.001175","0","","0.000839285714286","38.3316755451"
"0.006","35.9830894356","","0.002","0","","0.0012","0","","0.000857142857143","35.6847440996"
"0.006125","11.1389372563","","0.00204166666667","0","","0.001225","0","","0.000875","10.8881314294"
"0.00625","-0.0411671981829","","0.00208333333333","0","","0.00125","0","","0.000892857142857","-0.213854273312"
"0.006375","-11.3004983193","","0.002125","0","","0.001275","0","","0.000910714285714","-11.5547304834"
"0.0065","-36.3142987587","","0.00216666666667","0","","0.0013","0","","0.000928571428571","-36.7699741824"
"0.006625","-39.1024877311","","0.00220833333333","0","","0.001325","0","","0.000946428571429","-39.6763708131"
"0.00675","-22.4943248018","","0.00225","0","","0.00135","0","","0.000964285714286","-23.1920190015"
"0.006875","-0.342007516052","","0.00229166666667","0","","0.001375","0","","0.000982142857143","-1.20235770707"
"0.007","21.9070996234","","0.00233333333333","0","","0.0014","0","","0.001","21.1500918896"
"0.007125","38.6140542714","","0.002375","0","","0.001425","0","","0.00101785714286","38.0536526542"
"0.00725","35.9111852967","","0.00241666666667","0","","0.00145","0","","0.00103571428571","35.4428668043"
"0.007375","11.0926020303","","0.00245833333333","0","","0.001475","0","","0.00105357142857","10.7450015777"
"0.0075","-0.0449250370599","","0.0025","0","","0.0015","0","","0.00107142857143","-0.201792106235"
"0.007625","-11.2795450752","","0.00254166666667","0","","0.001525","0","","0.00108928571429","-11.4068904682"
"0.00775","-36.2982450323","","0.00258333333333","0","","0.00155","0","","0.00110714285714","-36.5192933397"
"0.007875","-39.1117989292","","0.002625","0","","0.001575","0","","0.001125","-39.3743415456"
"0.008","-22.5147876576","","0.00266666666667","0","","0.0016","0","","0.00114285714286","-22.8570583614"
"0.008125","-0.349377105743","","0.00270833333333","0","","0.001625","0","","0.00116071428571","-0.858026007525"
"0.00825","21.9299194344","","0.00275","0","","0.00165","0","","0.00117857142857","21.4902370179"
"0.008375","38.6786515234","","0.00279166666667","0","","0.001675","0","","0.00119642857143","38.3815546351"
"0.0085","35.9906503139","","0.00283333333333","0","","0.0017","0","","0.00121428571429","35.7148003744"
"0.008625","11.1422600141","","0.002875","0","","0.001725","0","","0.00123214285714","10.9018375148"
"0.00875","-0.0409221384619","","0.00291666666667","0","","0.00175","0","","0.00125","-0.209007545677"
"0.008875","-11.3026190995","","0.00295833333333","0","","0.001775","0","","0.00126785714286","-11.5480788047"
"0.009","-36.3184173775","","0.003","0","","0.0018","0","","0.00128571428571","-36.7587230994"
"0.009125","-39.1075369","","0.00304166666667","0","","0.001825","0","","0.00130357142857","-39.6577816241"
"0.00925","-22.5008822111","","0.00308333333333","0","","0.00185","0","","0.00132142857143","-23.166762781"
"0.009375","-0.341933075531","","0.003125","0","","0.001875","0","","0.00133928571429","-1.16984520684"
"0.0095","21.9135597769","","0.00316666666667","0","","0.0019","0","","0.00135714285714","21.187076382"
"0.009625","38.6204121757","","0.00320833333333","0","","0.001925","0","","0.001375","38.0853507949"
"0.00975","35.9187718793","","0.00325","0","","0.00195","0","","0.00139285714286","35.4698904775"
"0.009875","11.0973370042","","0.00329166666667","0","","0.001975","0","","0.00141071428571","10.7604684626"
"0.01","-0.0446986488021","","0.00333333333333","0","","0.002","0","","0.00142857142857","-0.19868525458"
"0.010125","-11.2825068591","","0.003375","0","","0.002025","0","","0.00144642857143","-11.4112465151"
"0.01025","-36.3048611743","","0.00341666666667","0","","0.00205","0","","0.00146428571429","-36.5282778275"
"0.010375","-39.1217434833","","0.00345833333333","0","","0.002075","0","","0.00148214285714","-39.3879502979"
"0.0105","-22.526992339","","0.0035","0","","0.0021","0","","0.0015","-22.876957138"
"0.010625","-0.360392472428","","0.00354166666667","0","","0.002125","0","","0.00151785714286","-0.87471102304"
"0.01075","21.9223514289","","0.00358333333333","0","","0.00215","0","","0.00153571428571","21.4790985331"
"0.010875","38.6739274604","","0.003625","0","","0.002175","0","","0.00155357142857","38.3702465495"
"0.011","35.9885099258","","0.00366666666667","0","","0.0022","0","","0.00157142857143","35.7098779427"
