time_s,Center_WJ,Center_ATF,Tip_WJ,Tip_ATF
45.0,86.56786663699735,87.37310767727749,96.3531920593592,85.97186558689528
65.15059880195355,91.61146366827252,92.91783312064567,103.96859187386153,90.71783044246516
85.3011976039071,95.74180800834814,97.6128264556187,109.49924120969877,94.66740239932908
130.3011976039071,102.64457173950454,105.68059403036895,117.5904813159557,101.42358516747902
175.3011976039071,108.20529225533548,112.22159601876638,123.70576965721312,106.90143918146667
220.3011976039071,112.92346663433837,117.75643487179084,128.76298585386928,111.54160189289937
265.3011976039071,117.06438933025841,122.5904415502767,133.16196871958837,115.59868374712701
310.3011976039071,120.77618006950023,126.90482764385787,137.0949510576125,119.22273501691892
355.3011976039071,124.14719345731257,130.81080321584682,140.6653858417519,122.50563617192564
400.3011976039071,127.23425283062181,134.38016609409766,143.93576062235482,125.50676886920952
445.3011976039071,130.07674844643424,137.66214571552862,146.94799799788248,128.26696678922406
490.3011976039071,132.70388036047598,140.69263038992682,149.73275229554727,130.81609860815405
535.3011976039071,135.13852421619796,143.49927500719372,152.31395388202958,133.17725013847922
580.3011976039071,137.39938764212556,146.10439145628055,154.71119293043782,135.3690898814704
625.3011976039071,139.50227060503315,148.52663518476194,156.94105730836282,137.40725185131066
670.3011976039071,141.46083720318742,150.7820258614721,159.01793178379077,139.30517511265435
715.3011976039071,143.28711002503707,152.8845901768692,160.95450310587623,141.07463451075043
760.3011976039071,144.99180062835504,154.84678373588943,162.76209579251517,142.7260903099947
805.3011976039071,146.58453960279502,156.67977963852832,164.45090585040396,144.26892814323887
850.3011976039071,148.0740430133644,158.39367400245098,166.03017042113441,145.7116303648597
875.1505988019535,148.86646977320032,159.30539224165392,166.87032375880864,146.47912022199014
900.0,149.63012423701824,160.18392565903315,167.67994443891553,147.21870805567568
