time_s,Center_WJ,Center_ATF,Tip_WJ,Tip_ATF
45.0,88.69312792980976,86.97008439656418,90.15300244955344,86.27034340804444
81.99977261936769,100.72689497776905,97.69611960608532,102.53023018574393,96.07965201907723
118.99954523873538,110.00215059645993,106.0965531840553,111.88596548476788,103.67463795530182
163.99954523873538,118.55035154857192,114.05935448503462,120.4706247996443,110.8645451876231
208.99954523873538,125.27003090268899,120.46083901362282,127.22813885128225,116.64716033582108
253.99954523873538,130.73442913368334,125.73556060571804,132.7395522981736,121.4137863417458
298.9995452387354,135.31326863125614,130.1766331773065,137.37279952508845,125.42771115043611
343.9995452387354,139.2511174967295,133.99041972066976,141.36961113230885,128.87460740515394
388.9995452387354,142.71350899910746,137.32562829015566,144.8931316192588,131.88852485927646
433.9995452387354,145.81477016871315,140.29087172705013,148.0559130647686,134.5675184261616
478.9995452387354,148.6353257563763,142.96619342087482,150.93713146660994,136.98393393041115
523.9995452387354,151.23273046524366,145.41100451291598,153.59349866325246,139.1915159151474
568.9995452387354,153.64885052883147,147.6696952944988,156.06633831689825,141.2304475682629
613.9995452387354,155.9146250014284,149.77566076183055,158.38626414268344,143.13097466507907
658.9995452387354,158.05327546880892,151.7542133967889,160.5763270534641,144.9160323317354
703.9995452387354,160.08250308962667,153.62470222483054,162.6541660468697,146.6031585126482
748.9995452387354,162.01601346052163,155.40206019208173,164.6334994116113,148.20589257113866
793.9995452387354,163.86458818236233,157.09793727880117,166.52517192860566,149.73480019024504
838.9995452387354,165.63684622107417,158.72153221263284,168.33789869891962,151.19822605789736
883.9995452387354,167.33979015875576,160.28020427842267,170.07879885427488,152.60284776499446
900.0,167.93682705620444,160.82651104837905,170.68901953312164,153.0951249057074
