"Study title: ref_e10_WirePeriodic_Load_Fq"
"Torque: Nm <Value> "
"Case Range","1","","","2","","","3","","","4","","","5","","","6","","","7","",""
"Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque"
"200","-12.4047536338","","200","-12.767170642","","200","-12.9700653116","","200","-13.0655223062","","200","-13.1017295979","","200","-13.1095942553","","200","-13.1069178839"
"300","-12.4042798414","","300","-12.7667355004","","300","-12.969603348","","300","-13.0650573933","","300","-13.1012284822","","300","-13.1091254251","","300","-13.1064688409"
"400","-12.4038225405","","400","-12.7662891508","","400","-12.9691653047","","400","-13.0645824202","","400","-13.100851613","","400","-13.1087066222","","400","-13.1060357382"
"500","-12.403423997","","500","-12.7659085663","","500","-12.9687908104","","500","-13.0642375231","","500","-13.1004538906","","500","-13.1083336892","","500","-13.1056425558"
"600","-12.4031179664","","600","-12.7655962347","","600","-12.9685074898","","600","-13.0639235477","","600","-13.1001791705","","600","-13.1080585692","","600","-13.1053898121"
"700","-12.4028967906","","700","-12.7654414264","","700","-12.9683539788","","700","-13.063809207","","700","-13.1000599679","","700","-13.1079160375","","700","-13.105226048"
"800","-12.4029147288","","800","-12.7654468633","","800","-12.9683479337","","800","-13.0638374732","","800","-13.1000286104","","800","-13.1079199974","","800","-13.1052385595"
"900","-12.4030714703","","900","-12.7656055316","","900","-12.9685108154","","900","-13.0640369223","","900","-13.1002276101","","900","-13.1080929385","","900","-13.1054273097"
"1000","-12.4033856214","","1000","-12.7659569456","","1000","-12.9688915123","","1000","-13.0643645989","","1000","-13.1005953905","","1000","-13.1084499706","","1000","-13.1057849812"
"1100","-12.4038807336","","1100","-12.7664744363","","1100","-12.9694236841","","1100","-13.0648864619","","1100","-13.1011245441","","1100","-13.1089997554","","1100","-13.1062950766"
"1200","-12.4045506308","","1200","-12.7671431394","","1200","-12.9700840536","","1200","-13.0655823388","","1200","-13.1018145047","","1200","-13.1096938046","","1200","-13.1070141222"
"1300","-12.4053391241","","1300","-12.7679747187","","1300","-12.9709347415","","1300","-13.0664196653","","1300","-13.1026563275","","1300","-13.110540431","","1300","-13.1078628984"
"Joule Loss: W <Value> "
"Case Range","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
