"Study title: ref_e10_WirePeriodic_Load_Fq"
"Torque: Nm <Value> "
"Case Range","1","","","2","","","3","","","4","","","5","","","6","","","7","",""
"Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque"
"200","-12.3045694111","","200","-12.4017685379","","200","-12.4797470007","","200","-12.5396477821","","200","-12.5917257564","","200","-12.639078232","","200","-12.6833473758"
"300","-12.303597233","","300","-12.4007956905","","300","-12.4787744538","","300","-12.5386724591","","300","-12.5907494302","","300","-12.6381030676","","300","-12.6823712737"
"400","-12.3028683965","","400","-12.4000660003","","400","-12.4780442584","","400","-12.5379414218","","400","-12.5900181437","","400","-12.637371778","","400","-12.6816389388"
"500","-12.3023784673","","500","-12.3995781936","","500","-12.4775555223","","500","-12.5374530466","","500","-12.5895288581","","500","-12.6368822083","","500","-12.6811472504"
"600","-12.3021235882","","600","-12.3993245686","","600","-12.4773018757","","600","-12.5371995577","","600","-12.5892761176","","600","-12.6366286201","","600","-12.6809018661"
"700","-12.302096719","","700","-12.3992982204","","700","-12.4772779972","","700","-12.537175644","","700","-12.5892515275","","700","-12.6366060682","","700","-12.6808732841"
"800","-12.3022848666","","800","-12.3994879342","","800","-12.4774659406","","800","-12.5373670473","","800","-12.5894429023","","800","-12.6367979065","","800","-12.6810667838"
"900","-12.3026727744","","900","-12.3998786411","","900","-12.4778618705","","900","-12.5377588796","","900","-12.589838622","","900","-12.6371934073","","900","-12.6814626465"
"1000","-12.3032512914","","1000","-12.4004576667","","1000","-12.4784418342","","1000","-12.5383442265","","1000","-12.590422668","","1000","-12.6377780959","","1000","-12.6820485991"
"1100","-12.3040004362","","1100","-12.401211158","","1100","-12.4791962963","","1100","-12.539098996","","1100","-12.5911790647","","1100","-12.6385343878","","1100","-12.6828077306"
"1200","-12.3049061184","","1200","-12.4021198249","","1200","-12.4801070326","","1200","-12.5400123353","","1200","-12.5920935967","","1200","-12.639451562","","1200","-12.6837237858"
"1300","-12.3059528793","","1300","-12.4031699713","","1300","-12.4811597808","","1300","-12.5410650379","","1300","-12.5931473717","","1300","-12.6405086775","","1300","-12.68478178"
"Joule Loss: W <Value> "
"Case Range","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
