"Case Range","1",,,"2",,,"3",,,"4"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0.00625","-772339.668746",,"0.00208333333333","-2137897.84333",,"0.00125","-3354947.61678",,"0.000892857142857","-4535506.73055"
"0.006375","-1004895.29983",,"0.002125","-2417368.88234",,"0.001275","-3554718.30518",,"0.000910714285714","-4645884.58729"
"0.0065","-1458875.01335",,"0.00216666666667","-3046865.08064",,"0.0013","-4126572.16773",,"0.000928571428571","-5111374.95628"
"0.006625","-2221245.51353",,"0.00220833333333","-4152047.02589",,"0.001325","-5208457.45982",,"0.000946428571429","-6075557.96993"
"0.00675","-3354256.29552",,"0.00225","-5877399.91214",,"0.00135","-6969172.16001",,"0.000964285714286","-7714412.31718"
"0.006875","-4204382.01562",,"0.00229166666667","-7660975.00794",,"0.001375","-9028323.99667",,"0.000982142857143","-9789100.27978"
"0.007","-4151116.28403",,"0.00233333333333","-8620941.64552",,"0.0014","-10576466.6755",,"0.001","-11619802.0698"
"0.007125","-3515581.62153",,"0.002375","-8622179.03682",,"0.001425","-11241805.6443",,"0.00101785714286","-12739760.1517"
"0.00725","-2806331.45781",,"0.00241666666667","-8064222.56667",,"0.00145","-11195251.5755",,"0.00103571428571","-13144862.3734"
"0.007375","-2341376.03977",,"0.00245833333333","-7435410.6969",,"0.001475","-10845389.9558",,"0.00105357142857","-13125632.9666"
"0.0075","-2012154.96565",,"0.0025","-6871797.88477",,"0.0015","-10417691.1059",,"0.00107142857143","-12917786.0831"
"0.007625","-2015368.48649",,"0.00254166666667","-6656408.61882",,"0.001525","-10221226.9483",,"0.00108928571429","-12826045.4837"
"0.00775","-2980196.47458",,"0.00258333333333","-7574581.50194",,"0.00155","-10992350.0684",,"0.00110714285714","-13508356.8891"
"0.007875","-3617286.12263",,"0.002625","-8699275.26335",,"0.001575","-12218009.9923",,"0.001125","-14732562.8603"
"0.008","-3410638.27752",,"0.00266666666667","-9090882.59363",,"0.0016","-13014078.1211",,"0.00114285714286","-15766624.8016"
"0.008125","-3244652.03513",,"0.00270833333333","-9149149.26108",,"0.001625","-13421290.9272",,"0.00116071428571","-16461154.7298"
"0.00825","-2822359.36333",,"0.00275","-8787886.17395",,"0.00165","-13364571.8883",,"0.00117857142857","-16708881.941"
"0.008375","-1793919.76023",,"0.00279166666667","-7622117.7108",,"0.001675","-12512020.519",,"0.00119642857143","-16215724.9897"
"0.0085","-749236.037827",,"0.00283333333333","-5988592.63298",,"0.0017","-11008099.4241",,"0.00121428571429","-15007808.8715"
"0.008625","-243054.447581",,"0.002875","-4583530.19672",,"0.001725","-9429151.12675",,"0.00123214285714","-13526420.6295"
"0.00875","-240394.376011",,"0.00291666666667","-3731961.55928",,"0.00175","-8204619.41091",,"0.00125","-12207326.8152"
"0.008875","-456903.984215",,"0.00295833333333","-3351614.33157",,"0.001775","-7417053.24489",,"0.00126785714286","-11228290.7503"
"0.009","-869963.356367",,"0.003","-3427434.34104",,"0.0018","-7112511.11739",,"0.00128571428571","-10687518.6887"
