"Study title: SC_e10_WirePeriodic_Load_Fq"
"Torque: Nm <Value> "
"Case Range","1","","","2","","","3","","","4","","","5","","","6","","","7","",""
"Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque","","Frequency Hz","Torque"
"200","-21.8259485485","","200","0","","200","0","","200","0","","200","0","","200","0","","200","0"
"300","-24.5030043777","","300","0","","300","0","","300","0","","300","0","","300","0","","300","0"
"400","-40.1877737068","","400","0","","400","0","","400","0","","400","0","","400","0","","400","0"
"500","-58.481941952","","500","0","","500","0","","500","0","","500","0","","500","0","","500","0"
"600","-81.2029819292","","600","0","","600","0","","600","0","","600","0","","600","0","","600","0"
"700","-101.992465171","","700","0","","700","0","","700","0","","700","0","","700","0","","700","0"
"800","-125.7939538","","800","0","","800","0","","800","0","","800","0","","800","0","","800","0"
"900","-152.471107423","","900","0","","900","0","","900","0","","900","0","","900","0","","900","0"
"1000","-169.059463624","","1000","0","","1000","0","","1000","0","","1000","0","","1000","0","","1000","0"
"1100","-168.822433621","","1100","0","","1100","0","","1100","0","","1100","0","","1100","0","","1100","0"
"1200","-171.538879245","","1200","0","","1200","0","","1200","0","","1200","0","","1200","0","","1200","0"
"1300","-184.683722633","","1300","0","","1300","0","","1300","0","","1300","0","","1300","0","","1300","0"
"Joule Loss: W <Value> "
"Case Range","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
