Number,Input/Output,Automation Name,Category,Units,Current Value,Default Value,Modified,Data Type,Description
1,i/p,ScriptAutoRun,Scripting_Options,"",0,0,"",integer,Automatically run the script before or during analysis
2,i/p,ScriptAutoRun_PythonClasses,Scripting_Options,"",0,0,"",integer,Automatically run the during analysis
3,compatibility,ScriptPythonFunctionType,Scripting_Options,"",0,0,"",integer,Run the script with new classes or old functions
4,i/p,ScriptFileName,Scripting_Options,"",No File Selected,No File Selected,"",OleStr,The name of the script file
5,i/p,ScriptLines_Python,Python_Scripting,"",1,0,yes,integer,Number of lines in Python script
6,i/p,Python_Script,Python_Scripting,"","""""","",yes,OleStr,Python script
7,persistent,OwnerProcessID,Scripting_Options,"",0,0,"",integer,Process ID of the caller (if exists) of this instance of Motor-CAD
8,persistent,DisableSleep,Scripting_Options,"",False,False,"",boolean,When true Motor-CAD will not allow computer to sleep
9,i/p,Full_Winding_Circuit_View,Calc_Options,"",False,False,"",boolean,When this is false then the only a reduced winding circuit is shown in circuit editor
10,setting,CircuitCaseSensitiveSearch,Misc,"",False,False,"",boolean,Case sensitive search in thermal circuit
11,setting,CircuitStartsWithSearch,Misc,"",False,False,"",boolean,Search for a word starting with the input text in thermal circuit
12,i/p,ScriptFileName_Python,Scripting_Options,"",No File Selected,No File Selected,"",OleStr,The name of the Python script file
13,i/p,ActiveXHidden,Scripting_Options,"",True,True,"",boolean,Whether the ActiveX interface is hidden or visible
14,i/p,TVent_Fan_Definition,Through_Vent,"",0,0,"",integer,The through ventilation fan definition
15,i/p,TVent_Shaft_Speed,Through_Vent,rpm,3000,3000,"",double,The reference shaft speed for the through ventilation
16,i/p,TVent_Flow_Rate,Through_Vent,m³/s,0.025,0.025,"",double,The reference flow rate for the through ventilation
17,o/p,Wet_Rotor_Dissipation_Total,Wet_Rotor_Data,Watts,0,0,"",double,Total Dissipation from Wet Rotor Cooling
18,o/p,Flow_Rate_Airgap_Duct_Wall_F,Through_Vent,m³/s,0,0,"",double,The flow rate of the front of the airgap duct wall
19,o/p,Flow_Rate_Airgap_Duct_Wall_R,Through_Vent,m³/s,0,0,"",double,The flow rate of the rear of the airgap duct wall
20,o/p,Flow_Resistance_Airgap_Duct,Through_Vent,kg/m⁷,0,0,"",double,The flow resistance of the airgap duct
21,i/p,Stator_Duct_Friction_k_Adjustment,Through_Vent,"",1,1,"",double,The stator duct friction k adjustment
22,i/p,Stator_Duct_Wall_Roughness,Through_Vent,mm,0.0025,0.0025,"",double,The roughness of the stator ducts
23,i/p,Airgap_Duct_Friction_k_Adjustment,Through_Vent,"",1,1,"",double,The airgap duct friction k adjustment
24,i/p,Airgap_Duct_Wall_Roughness,Through_Vent,mm,0.0025,0.0025,"",double,The roughness of the airgap ducts
25,recommended,IncludeTVentDuctWallFriction,Through_Vent,"",True,True,"",boolean,When enabled the duct wall friction is taken into account in the TVent flow
26,o/p,Stator_Duct_Friction_Factor,Through_Vent,"",1,1,"",double,The stator duct friction factor
27,o/p,Stator_Duct_Re_Number,Through_Vent,"",0,0,"",double,The stator duct reynolds number
28,o/p,k_Stator_Duct_Wall_Friction,Through_Vent,"",0,0,"",double,The stator duct wall k factor
29,o/p,Fluid_Velocity_Stator_Duct,Through_Vent,m/s,0,0,"",double,The fluid velocity in the stator duct
30,o/p,Fluid_Velocity_Airgap_Duct,Through_Vent,m/s,0,0,"",double,The fluid velocity of the airgap duct
31,o/p,Airgap_Duct_Re_Number,Through_Vent,"",0,0,"",double,The airgap duct reynolds number
32,o/p,Airgap_Duct_Friction_Factor,Through_Vent,"",1,1,"",double,The airgap duct friction factor
33,i/p,Notes_Stator_Duct,Through_Vent,"","","","",OleStr,The notes for the stator duct
34,i/p,Notes_Airgap_Duct,Through_Vent,"","","","",OleStr,The notes for the airgap duct
35,o/p,k_Airgap_Duct_Wall_Friction,Through_Vent,"",0,0,"",double,The airgap duct k factor
36,i/p,StatorCopperLossesbyCurrent,Loss_Current_Values,"",False,False,"",boolean,When selected the stator losses are specified by current and resistance
37,i/p,MainWindingCurrentAtRefTemp,Loss_Current_Values,Amps,10,10,"",double,The current in the main winding at the reference temperature in Amps
38,i/p,MainWindingResistanceAtRefTemp,Loss_Current_Values,Ohms,3,3,"",double,The resistance of the main winding at the reference temperature
39,i/p,AuxWindingCurrentAtRefTemp,Loss_Current_Values,Amps,5,5,"",double,The current in the auxiliary winding at the reference temperature in Amps
40,i/p,AuxWindingResistanceAtRefTemp,Loss_Current_Values,Ohms,1,1,"",double,The resistance of the aux winding at the reference temperature
41,i/p,RefTempForWindingResistances,Loss_Current_Values,°C,20,20,"",double,The reference temperature for the winding resistances
42,o/p,NoMushConductorsDrawn,Winding_Design,"",100,0,yes,integer,This number of conductors drawn for mush winding (this may not be the number of conductors specified)
43,setting,ConductorsSlotBase,Winding_Design,mm,0.05,0.1,yes,double,This minimum separation distance from conductors to the slot base
44,setting,ConductorsSlotTooth,Winding_Design,mm,0.05,0.1,yes,double,This minimum separation distance from conductors to the tooth
45,setting,ConductorsVertical,Winding_Design,mm,0.1,0.1,"",double,This minimum separation distance between conductors in slot depth direction
46,setting,ConductorsHorizontal,Winding_Design,mm,0.1,0.1,"",double,This minimum separation distance between conductors in slot width direction
47,setting,ConductorSeparation,Winding_Design,mm,0.1,0.1,"",double,This minimum separation distance between conductors
48,i/p,WJ_Duct_Wall_Roughness_Active,Water_Jacket_Data,mm,0.0025,0.0025,"",double,The roughness of the housing water jacket ducts [Active]
49,i/p,WJ_Duct_Wall_Roughness_Front,Water_Jacket_Data,mm,0.0025,0.0025,"",double,The roughness of the housing water jacket ducts [Front]
50,i/p,WJ_Duct_Wall_Roughness_Rear,Water_Jacket_Data,mm,0.0025,0.0025,"",double,The roughness of the housing water jacket ducts [Rear]
51,recommended,IncludeWJDuctWallFriction,Water_Jacket_Data,"",True,True,"",boolean,When enabled the housing water jacket duct wall friction is taken into account in the Housing WJ flow and in the heat transfer coefficients.
52,i/p,Conductivity_Stator_Lam_Outer,Mat_Conductivity,W/m/°C,28,28,"",double,The conductivity of the stator lam outer
53,i/p,Cp_Stator_Lam_Outer,Mat_Cp,J/kg/°C,460,460,"",double,The specific heat capacity of the stator lam outer
54,i/p,Density_Stator_Lam_Outer,Mat_Density,kg/m³,7800,7800,"",double,The density of the stator lam outer
55,o/p,Weight_Internal_Calc_Stator_Lam_Outer,Weights,kg,0,0,"",double,The internal weight calculation of the stator lam outer
56,i/p,Weight_Multiplier_Stator_Lam_Outer,Weight_Multiplier,"",1,1,"",double,The weight multipier of the stator lam outer
57,i/p,Weight_addition_Stator_Lam_Outer,Weight_Addition,kg,0,0,"",double,The weight addition of the stator lam outer
58,o/p,Weight_Total_Stator_Lam_Outer,Weights,kg,0,0,"",double,The total weight of the stator lam outer
59,i/p,Material_Stator_Lam_Outer,Material,"","","","",OleStr,The material of the stator lam outer
60,i/p,Material_Weight_Notes_Stator_Lam_Outer,Mat_Weight_Notes,"","","","",OleStr,These are the notes of the stator lam outer
61,i/p,ProximityLosses_ShowDetail,Miscellaneous,"",False,False,"",boolean,When this is true then the AC winding loss detail for left and right hand sides of slot are shown in the output sheets
62,i/p,ProximityLossModel,Miscellaneous,"",0,0,"",integer,The AC winding loss model selection
63,compatibility,ProximityLossModel_FullFEA_CurrentPlacement,Miscellaneous,"",1,1,"",integer,Positioning of currents in conductors for Full FEA AC Loss calculation
64,compatibility,StackingFactorIgnore,Calc_Options,"",1,1,"",integer,"When set to ignore stacking factor calculation, only ignore it in Emag calculations."
65,compatibility,MaxSlotOpeningParallelTooth,Miscellaneous,"",1,1,"",integer,Calculating the maximum slot opening for a parallel tooth machine in ratio mode
66,i/p,ACLossModel_FullFEA_AllSlots_MaxConductors,Proximity_Loss,"",20,20,"",integer,Maximum number of conductors per slot for Full FEA AC Loss calculation with conductors in all slots.
67,i/p,TransientGraphUpdateDisabled,Calc_Options,"",False,False,"",boolean,When set to 1 then transient graphs are no longer drawn. This has to be set to 0 before last transient run during append run to show full transient results graph.
68,o/p,Rt_EndW_Axle_Front,Through_Vent,°C/W,0,0,"",double,This is thermal resistance from front end winding to the axle for BPMOR machines
69,o/p,Rt_EndW_Axle_Rear,Through_Vent,°C/W,0,0,"",double,This is thermal resistance from rear end winding to the axle for BPMOR machines
70,i/p,SteadyStateResultsEnabled,User_Options,"",False,False,"",boolean,The steady state results are stored in a file when this is enabled
71,i/p,TransientResultsEnabled,User_Options,"",False,False,"",boolean,The transient results are stored in a file when this is enabled
72,i/p,TestDataFile,User_Options,"",No File Selected,No File Selected,"",OleStr,The test data file name
73,i/p,SteadyStateResultsDecimalSeparator,User_Options,"","","","",OleStr,When this is not empty then this overrides the decimal separator used in the steady state results file
74,i/p,TransientResultsDecimalSeparator,User_Options,"","","","",OleStr,When this is not empty then this overrides the the decimal separator used in the transient results file
75,o/p,Rt_Airgap_Cup_Endcap_Con,Rt,°C/W,1000000000,1000000000,"",double,The cup to endcap convection resistance
76,o/p,Rt_Airgap_Cup_Endcap_Rad,Rt,°C/W,1000000000,1000000000,"",double,The cup to endcap radiation resistance
77,i/p,SGManualFrictionFactor,Shaft_Jacket_Data,"",0,0,"",integer,When set the duct friction factors are manually set
78,i/p,SGFrictionFactor_F,Shaft_Jacket_Data,"",1E-7,1E-7,"",double,The duct friction factor for front section of shaft spiral groove
79,i/p,SGFrictionFactor_R,Shaft_Jacket_Data,"",1E-7,1E-7,"",double,The duct friction factor for rear section of shaft spiral groove
80,i/p,SGFrictionFactor_A,Shaft_Jacket_Data,"",1E-7,1E-7,"",double,The duct friction factor for active section of shaft spiral groove
81,o/p,AmbientTemperatureConvection,Miscellaneous,°C,0,0,"",double,The final ambient temperature (convection) for a steady state or transient calculation.
82,o/p,AmbientTemperatureRadiation,Miscellaneous,°C,0,0,"",double,The final ambient temperature (radiation) for a steady state or transient calculation.
83,i/p,Import_SPEED_WindageFrictionLosses,Speed_Program,"",False,False,"",boolean,When selected then the windage and friction losses are imported from SPEED
84,i/p,Import_SPEED_AmbientTemperature,Speed_Program,"",False,False,"",boolean,When selected then the ambient temperature is imported from SPEED
85,persistent,FE_Version,FEA_Settings,"","","","",OleStr,Finite Element dll version
86,persistent,FE_Location,FEA_Settings,"","","","",OleStr,Finite Element dll location
87,i/p,SubmersibleCooling,Blown_Over,"",False,False,"",boolean,When enabled then the external fluid of the machine may be another fluid rather than air.
88,i/p,FloodedCooling,Blown_Over,"",False,False,"",boolean,When enabled then the internal fluid of the machine may be another fluid rather than air.
89,setting,EditingCircuitComponentPosition,Calc_Options,"",False,False,"",boolean,When true the circuit is currently being edited
90,setting,CircuitEditing,Calc_Options,"",False,False,"",boolean,When enabled the circuit can be edited
91,setting,CircuitFlowEditing,Calc_Options,"",False,False,"",boolean,When enabled the flow circuit can be edited
92,o/p,HighestNumNode,Calc_Options,"",374,0,yes,integer,The highest node number in network
93,setting,ShowWatermarks,Calc_Options,"",True,True,"",boolean,When enabled the Motor-CAD watermarks are visible in the editors
94,persistent,ForwardsCompatibilitySetting,User_Options,"",1,1,"",integer,"When enabled, saved model files will be more compatible with older versions of Motor-CAD"
95,i/p,ThermalCalcType,User_Options,"",0,0,"",integer,The thermal calculation type to be run
96,i/p,ThermalModelType,User_Options,"",0,0,"",integer,When 2D model is enabled then Motor-CAD model is Pseudo 2D for comparison with 2D FEA
97,i/p,ThermalModelSize,User_Options,"",0,0,"",integer,The size of the thermal model.
98,i/p,NumLoadPoints,Magnetics,"",0,0,"",integer,The number of load points.
99,i/p,LoadPoint_Current_Array,Magnetics,Amps,"",0,"",double,LoadPoint Current Array
100,i/p,LoadPoint_PhaseAdvance_Array,Magnetics,EDeg,"",0,"",double,LoadPoint PhaseAdvance Array
101,i/p,LoadPoint_Torque_Array,Magnetics,Nm,"",0,"",double,LoadPoint Torque Array
102,i/p,LoadPoint_Calculated_Torque_Array,Magnetics,Nm,"",0,"",double,LoadPoint Calculated Torque Array
103,i/p,LoadPoint_Speed_Array,Magnetics,rpm,"",0,"",double,LoadPoint Speed Array
104,i/p,LoadPoint_OnAngle_Array,Magnetics,EDeg,"",0,"",double,LoadPoint OnAngle Array
105,i/p,LoadPoint_OffAngle_Array,Magnetics,EDeg,"",0,"",double,LoadPoint OffAngle Array
106,i/p,LoadPoint_Slip_Array,Magnetics,"","",0,"",double,LoadPoint Slip Array
107,i/p,LoadPoint_DCFieldCurrent_Array,Magnetics,Amps,"",0,"",double,LoadPoint DC Field Current Array
108,i/p,MultiForceExportFile,Magnetics,"","","","",OleStr,The Forces Export filename
109,i/p,StatorForceNodes_PerTooth,Calc_Options,"",1,1,"",integer,The number of force nodes per stator tooth for force calculations.
110,i/p,RotorForceNodes_PerPole,Calc_Options,"",1,1,"",integer,The number of force nodes per rotor pole for force calculations.
111,i/p,RotorForceNodes_PerBar,Calc_Options,"",1,1,"",integer,The number of force nodes per rotor bar for force calculations.
112,i/p,NumForcePointsPerNode_Stator,Magnetics,"",10,10,"",integer,The number of force points calculated for each stator node.
113,i/p,NumForcePointsPerNode_Rotor,Magnetics,"",10,10,"",integer,The number of force points calculated for each rotor node.
114,o/p,NumTotalForcePoints_Stator,Magnetics,"",0,0,"",integer,The total number of force points on the stator over 360 mechanical degrees.
115,o/p,NumTotalForcePoints_Rotor,Magnetics,"",0,0,"",integer,The total number of force points on the rotor over 360 mechanical degrees.
116,o/p,MultiForceCalcsRunning,Magnetics,"",False,False,"",boolean,Whether Torque calculations for multiple operating point force calculations are running
117,i/p,MultiForceLoadPointDefinition,Magnetics,"",0,0,"",integer,The load point definition for multiple point force calculations using either current / phase advance or torque
118,i/p,MultiForceMinEnvelopeSpeed,Magnetics,rpm,0,0,"",double,The Minimum speed used in calculating the torque speed envelope for multi-point force calculations
119,i/p,MultiForceMaxEnvelopeSpeed,Magnetics,rpm,10000,10000,"",double,The Maximum speed used in calculating the torque speed envelope for multi-point force calculations
120,i/p,MultiForceEnvelopePoints,Magnetics,"",20,20,"",integer,The number of points used in calculating the torque speed envelope for multi-point force calculations
121,i/p,MultiForceEnvelopeStepSize,Magnetics,rpm,1000,1000,"",double,The step size used in calculating the torque speed envelope for multi-point force calculations
122,i/p,MultiForceEnvelopeSetOperatingPoints,Magnetics,"",0,0,"",integer,If the torque envelope should be used to re-set the operating points
123,setting,ForceExportFormat,Magnetics,"",0,0,"",integer,The format of forces export
124,setting,ForceExport_DataType,Magnetics,"",0,0,"",integer,The forces data type used in force export
125,setting,ForceExportCycleType,Magnetics,"",1,1,"",integer,The force export cycle type either whole mechanical cycle or all force data calculated
126,setting,AnsysMechanicalExport_ForceType,Magnetics,"",0,0,"",integer,"The type of force exported, either both, radial only or tangential only"
127,setting,AnsysMechanicalExport_Xoffset,Magnetics,mm,0,0,"",double,X origin of the motor in the FEA global coordinate system
128,setting,AnsysMechanicalExport_Yoffset,Magnetics,mm,0,0,"",double,Y origin of the motor in the FEA global coordinate system
129,setting,AnsysMechanicalExport_Zoffset,Magnetics,mm,0,0,"",double,Z origin of the motor in the FEA global coordinate system
130,setting,AnsysMechanicalExport_AngleOffset,Magnetics,MDeg,0,0,"",double,Position of the first tooth clockwise from the X axis
131,compatibility,AnsysMechanicalExport_TangentialDirection,Mechanical,"",1,1,"",integer,The improved method corrects the tangential force direction in the Ansys Mechanical force export
132,setting,AnsysMotionExport_FileType,Magnetics,"",1,1,"",integer,Export to Ansys Motion with Object Based or Element Based format
133,i/p,Envelope_Speed_Array,Magnetics,rpm,0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0,0,"",double,Envelope Speed Array
134,i/p,Envelope_Torque_Array,Magnetics,Nm,0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0 : 0,0,"",double,Envelope Torque Array
135,setting,MultiForceThreading,Magnetics,"",1,1,"",integer,Whether to use single or multiple threads when undertaking multiple operating point forces calculation.
136,setting,MultiForce_LoadPointToAnalyse,Magnetics,"",0,0,"",integer,The selected single load point for Force Analysis
137,recommended,AirgapLaminarVorticesMethod,Calc_Options,"",0,0,"",integer,Calculation method used for the laminar flow with vortices airgap heat transfer
138,recommended,AirgapTurbulentVorticesMethod,Calc_Options,"",0,0,"",integer,Calculation method used for the turbulent flow with vortices airgap heat transfer
139,recommended,AirgapTurbulentMethod,Calc_Options,"",0,0,"",integer,Calculation method used for the turbulent flow airgap heat transfer
140,compatibility,AirgapTempForEmagCalc,Calc_Options,"",1,1,"",integer,The Airgap Temperature value used in Emag calculations
141,o/p,Re_Airgap_Axial,Airgap,"",0,0,"",double,This is the airgap axial flow reynolds number
142,o/p,Re_Airgap_Rotational,Airgap,"",0,0,"",double,This is the airgap rotational flow reynolds number
143,o/p,Re_Airgap_Effective,Airgap,"",0,0,"",double,This is the airgap rotational and axial flow effective reynolds number
144,o/p,Taylor_Airgap,Airgap,"",0,0,"",double,This is the airgap rotational flow taylor number
145,o/p,KinematicViscosity_Airgap,Airgap,m²/s,0,0,"",double,This is the airgap Kinematic Viscosity
146,o/p,Prandtl_Airgap,Airgap,"",0,0,"",double,This is the airgap Prandtl number
147,o/p,FluidConductivity_Airgap,Airgap,W/m/°C,0,0,"",double,This is the airgap fluid conductivity
148,o/p,Correlation_Airgap,Airgap,"","","","",OleStr,This is the airgap correlation used
149,o/p,Temp_Airgap,Airgap,°C,0,0,"",double,This is the airgap temperature for which the fluid properties are used
150,o/p,RadiusRatio_Airgap,Airgap,"",0,0,"",double,This is the ratio of inner airgap radius / outer airgap radius
151,compatibility,InnerAirgapBoundary_Drawing,Airgap,"",1,1,"",integer,This applies an offset to the inner airgap boundary drawing for dxf use in machines with non-concentric rotor surfaces
152,o/p,Nu_Mills,Airgap,"",0,0,"",double,This is the Nusselt number for laminar flow calculated using the Mills method
153,o/p,Nu_Gnielinski,Airgap,"",0,0,"",double,This is the Nusselt number for turbulent flow calculated using the Gnielinski method
154,o/p,Nu_SimmersConey,Airgap,"",0,0,"",double,This is the Nusselt number for laminar flow with vortices calculated using the Simmers and Coney method
155,o/p,Nu_Gazley,Airgap,"",0,0,"",double,This is the Nusselt number for turbulent flow with vortices calculated using the Gazley method
156,o/p,Nu_KosterinFinatev,Airgap,"",0,0,"",double,This is the Nusselt number for turbulent flow with vortices calculated using the Kosterin and Finatev method
157,o/p,Nu_TachibanaFukui,Airgap,"",0,0,"",double,This is the Nusselt number for turbulent flow with vortices calculated using the Tachibana and Fukui method
158,o/p,Nu_KuzayScott,Airgap,"",0,0,"",double,This is the Nusselt number for turbulent flow calculated using the Kuzay and Scott method
159,o/p,Nu_ChildsTurner,Airgap,"",0,0,"",double,This is the Nusselt number for turbulent flow calculated using the Childs and Turner method
160,o/p,Nu_Airgap,Airgap,"",0,0,"",double,This is the Nusselt number used for the airgap based on the different methods
161,o/p,Nu_Taylor,Airgap,"",0,0,"",double,This is the Nusselt number calculated using the Taylor method
162,o/p,AirGapAxialVelocity,Airgap,m/s,0,0,"",double,This is the axial airgap velocity
163,o/p,AirGapRotationalVelocity,Airgap,m/s,0,0,"",double,This is the average rotational airgap velocity
164,o/p,AirGapEffectiveVelocity,Airgap,m/s,0,0,"",double,This is the effective airgap velocity
165,recommended,TurbulentUpperLimit,Airgap,"",5000,5000,"",double,This is the Reynolds number upper limit for the transition from laminar to turbulent flow
166,o/p,VortexUpperLimit,Airgap,"",49.2,49.2,"",double,This is the critical Taylor number upper limit for the transition from non-vortice to vortice flow in the airgap
167,recommended,VortexUpperLimitMult,Airgap,"",1.2,1.2,"",double,This is the Taylor number upper limit multiplier above the lower Taylor number limit for the transition from non vortex to vortex flow
168,o/p,CalculatedTaylorCritical,Airgap,"",0,0,"",double,This is the critical Taylor number lower limit for the transition from non-vortice to vortice flow in the airgap
169,i/p,BlownOverDirection,Blown_Over,"",0,0,"",integer,This is the direction of the flow over the outer surface of the machine
170,i/p,BlownOverGraphSelection,Blown_Over,"",0,0,"",integer,Select the blown over flow graph to view.
171,i/p,BlownOverLeakageDefinition,Blown_Over,"",0,0,"",integer,The per unit flow values can either be entered directly or entered using the flow curve.
172,i/p,BlownOverCurvatureX,Blown_Over,"",0.1,0.1,"",double,This is used to specify curvature of the per unit flow. (This is the x value for midpoint of quadratic Bezier curve)
173,i/p,BlownOverCurvatureY,Blown_Over,"",0.1,0.1,"",double,This is used to specify curvature of the per unit flow. (This is the y value for midpoint of quadratic Bezier curve)
174,i/p,BlownOverEndLeakage,Blown_Over,"",0.2,0.2,"",double,This is the per unit value of flow at the furthest distance from the blower
175,i/p,BlownOver_FluidFlowNotes_Housing_Active_No_Fins,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
176,i/p,BlownOver_FluidFlowNotes_Housing_Active_Fin_Base,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
177,i/p,BlownOver_FluidFlowNotes_Housing_Active_Fin_Sides,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
178,i/p,BlownOver_FluidFlowNotes_Housing_Active_Fin_Tips,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
179,i/p,BlownOver_FluidFlowNotes_Housing_Active_Fin_Channel,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
180,i/p,BlownOver_FluidFlowNotes_Housing_Active_Corner_Cutout,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
181,i/p,BlownOver_FluidFlowNotes_Housing_Front_No_Fins,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
182,i/p,BlownOver_FluidFlowNotes_Housing_Front_Fin_Base,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
183,i/p,BlownOver_FluidFlowNotes_Housing_Front_Fin_Sides,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
184,i/p,BlownOver_FluidFlowNotes_Housing_Front_Fin_Tips,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
185,i/p,BlownOver_FluidFlowNotes_Housing_Front_Fin_Channel,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
186,i/p,BlownOver_FluidFlowNotes_Housing_Front_Corner_Cutout,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
187,i/p,BlownOver_FluidFlowNotes_Housing_Rear_No_Fins,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
188,i/p,BlownOver_FluidFlowNotes_Housing_Rear_Fin_Base,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
189,i/p,BlownOver_FluidFlowNotes_Housing_Rear_Fin_Sides,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
190,i/p,BlownOver_FluidFlowNotes_Housing_Rear_Fin_Tips,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
191,i/p,BlownOver_FluidFlowNotes_Housing_Rear_Fin_Channel,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
192,i/p,BlownOver_FluidFlowNotes_Housing_Rear_Corner_Cutout,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
193,i/p,BlownOver_FluidFlowNotes_Endcap_Front_Radial,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
194,i/p,BlownOver_FluidFlowNotes_Endcap_Front_Axial,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
195,i/p,BlownOver_FluidFlowNotes_Endcap_Rear_Radial,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
196,i/p,BlownOver_FluidFlowNotes_Endcap_Rear_Axial,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
197,i/p,BlownOver_FluidFlowNotes_Plate,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
198,i/p,BlownOver_FluidFlowNotes_Axle_Plate_F,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
199,i/p,BlownOver_FluidFlowNotes_Axle_Plate_R,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
200,i/p,BlownOver_FluidFlowNotes_Base,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
201,i/p,BlownOver_FluidFlowNotes_EncCase_Radial,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
202,i/p,BlownOver_FluidFlowNotes_EncCase_Axial,Blown_Over,"","","","",OleStr,Notes for the Blown over endcap rear radial surface
203,i/p,BlownOver4Kw,Blown_Over,"",False,False,"",boolean,When enabled the typical curve of 4kW machine is displayed
204,i/p,BlownOver75Kw,Blown_Over,"",False,False,"",boolean,When enabled the typical curve of 7.5kW machine is displayed
205,i/p,BlownOver15Kw,Blown_Over,"",False,False,"",boolean,When enabled the typical curve of 15kW machine is displayed
206,i/p,BlownOver30Kw,Blown_Over,"",False,False,"",boolean,When enabled the typical curve of 30kW machine is displayed
207,i/p,BlownOver55Kw,Blown_Over,"",False,False,"",boolean,When enabled the typical curve of 55kW machine is displayed
208,i/p,BlownOverDiGerlando2Pole,Blown_Over,"",False,False,"",boolean,"When enabled the typical curve of 2 Pole machine is displayed (Di Gerlando, 1994)"
209,i/p,BlownOverDiGerlando4Pole,Blown_Over,"",False,False,"",boolean,"When enabled the typical curve of 4 Pole machine is displayed (Di Gerlando, 1994)"
210,i/p,BlownOverKovalev,Blown_Over,"",False,False,"",boolean,"When enabled the typical curve of a machine is displayed (Kovalev, 1965)"
211,i/p,BlownOverTurbulenceFactorSetting,Blown_Over,"",0,0,"",integer,This selects the turbulence value used for the blown over cooling model
212,o/p,ForcedConv_FinSideAdjustment,Blown_Over,"",1,1,"",double,This is the area adjustment when blowing over radial fins used for the blown over cooling model
213,o/p,ForcedConv_FinBaseAdjustment,Blown_Over,"",1,1,"",double,This is the area adjustment when blowing over radial fins used for the blown over cooling model
214,o/p,Grill_InletArea,Cowling,mm²,0,0,"",double,Area of the inlet grill
215,i/p,Grill_Diameter_Outer,Cowling,mm,140,140,"",double,Outer Diameter of the inlet grill
216,i/p,Grill_Diameter_Inner,Cowling,mm,20,20,"",double,Inner Diameter of the inlet grill
217,i/p,Grill_HoleSize,Cowling,mm,8,8,"",double,Hole size of the inlet grill
218,i/p,Grill_HoleSeparation,Cowling,mm,2,2,"",double,Hole separation of the inlet grill
219,i/p,Grill_Swirl,Cowling,MDeg,5,5,"",double,Swirl angle of a slotted inlet grill
220,i/p,Grill_SlotsPerLayer,Cowling,"",6,6,"",integer,Number of slots per layer in a slotted inlet grill
221,i/p,CircularDuctLayers,Through_Vent,"",1,1,"",integer,This is number of circular or rectangular ducts layers in housing
222,i/p,CircularDuctL1RadialDiameter,Through_Vent,mm,123,123,"",double,This is radial diameter of layer 1 of ducts in housing
223,i/p,CircularDuctL1AxialOffset,Through_Vent,mm,4,4,"",double,This is axial offset from back iron of layer 1 of ducts in housing
224,i/p,CircularDuctL1Channels,Through_Vent,"",36,36,"",integer,This is number of channels in layer 1 in housing
225,i/p,CircularDuctL1ChannelDiameter,Through_Vent,mm,3,3,"",double,This is channel diameter of layer 1 ducts in housing
226,i/p,CircularDuctL1OffsetAngle,Through_Vent,MDeg,0,0,"",double,This is offset angle of layer 1 ducts in housing
227,i/p,CircularDuctL1SeparationAngle,Through_Vent,MDeg,5,5,"",double,This is separation angle of layer 1 ducts in square housing
228,i/p,CircularDuctL2RadialDiameter,Through_Vent,mm,124,124,"",double,This is radial diameter of layer 2 of ducts in housing
229,i/p,CircularDuctL2AxialOffset,Through_Vent,mm,10,10,"",double,This is axial offset from back iron of layer 2 of ducts in housing
