speed,f_e,P_dc_W,P_skin_W,P_g1_corr_W,P_g1_matlab12pi2_W,P_g2_W,P_2d_g2_W,P_mcad24_W,P_ju_prox_W,P_ju_skin_excess_W,P_cauer_W,Fr_cauer,B_top_layer_T,P_2D_G1_FEA_W,P_2D_G2_FEA_W,mcad_hybrid_prox_W,mcad_hybrid_skin_W,mcad_hybrid_total_W,fullfea_total_W
2000,133.33333333333334,25187.678834972685,16.86023890617544,273.47777546873306,13.854545955182761,273.394418852201,273.394418852201,273.47777546873294,273.3944188522009,16.860238906177983,0.5646709680519804,1.0000224185393085,0.7057471602484657,856.1786740698271,733.9816047546203,786.0965149785476,56.4602389532698,842.5567539318175,1841.6477404577504
4000,266.6666666666667,25187.678834972685,67.38296948454577,1093.9111018749318,55.41818382073102,1092.5786319319943,1092.5786319319946,1093.9111018749318,1092.578631931994,67.38296948454808,2.2585884696438856,1.000089670369566,0.7057471602484657,3425.040950049128,2455.3673893275763,3144.4529419564965,225.840955813079,3370.2938977695767,6545.868075487844
8000,533.3333333333334,25187.678834972685,268.60836688895984,4375.644407499729,221.67273528292418,4354.403622193928,4354.403622193928,4375.644407499727,4354.403622193919,268.60836688896234,9.03282776573578,1.0003586208886066,0.7057471602484657,13519.87116612093,7496.6740723120065,12766.537222599287,903.363823252317,13669.901045851584,21336.066535346064
16000,1066.6666666666667,25187.678834972685,1059.9251736531796,17502.57762999891,886.6909411316963,17167.672322503815,17167.672322503815,17502.57762999891,17167.672322503815,1059.9251736531805,36.10691434387322,1.0014335149570726,0.7057471602484657,54835.64077647168,22433.49840272533,44686.46026646519,3613.45529300927,48299.91555947449,66453.42437827696
