"Study title: SC_Tr_PWMPilot_2tone"
"Torque: Nm <Value> "
"Case Range","26","",""
"Time s","Torque"
"0","274.53767265"
"1.8310546875e-06","-178.708356003"
"3.662109375e-06","-495.161094377"
"5.4931640625e-06","330.040899874"
"7.32421875e-06","633.306276907"
"9.1552734375e-06","-17.0911020261"
"1.0986328125e-05","-564.449454144"
"1.28173828125e-05","-378.347213962"
"1.46484375e-05","581.204262819"
"1.64794921875e-05","235.751362193"
"1.8310546875e-05","-229.228020561"
"2.01416015625e-05","-781.264190396"
"2.197265625e-05","362.610016404"
"2.38037109375e-05","381.342790206"
"2.5634765625e-05","-132.012078782"
"2.74658203125e-05","-466.345519061"
"2.9296875e-05","237.316407468"
"3.11279296875e-05","421.502314519"
"3.2958984375e-05","-20.7411910012"
"3.47900390625e-05","-451.563663327"
"3.662109375e-05","-143.769250014"
"3.84521484375e-05","747.117119644"
"4.0283203125e-05","104.075381883"
"4.21142578125e-05","-354.102597761"
"4.39453125e-05","-597.088525872"
"4.57763671875e-05","464.399742193"
"4.7607421875e-05","463.956760556"
"4.94384765625e-05","-55.7424232852"
"5.126953125e-05","-691.973365786"
"5.31005859375e-05","-25.4736600267"
"5.4931640625e-05","435.526417161"
"5.67626953125e-05","21.6100029056"
"5.859375e-05","-321.671757325"
"6.04248046875e-05","-363.118613257"
"6.2255859375e-05","525.562363409"
"6.40869140625e-05","157.423751303"
"6.591796875e-05","-312.64098523"
"6.77490234375e-05","-387.913547384"
"6.9580078125e-05","636.357297754"
"7.14111328125e-05","323.390620854"
"7.32421875e-05","-111.47289502"
"7.50732421875e-05","-598.572527481"
"7.6904296875e-05","116.267348085"
"7.87353515625e-05","622.560733491"
"8.056640625e-05","45.7894001141"
"8.23974609375e-05","-489.894469998"
"8.4228515625e-05","-505.43961777"
"8.60595703125e-05","434.244325111"
"8.7890625e-05","242.996097686"
"8.97216796875e-05","-174.601508712"
"9.1552734375e-05","-643.263440734"
"9.33837890625e-05","391.958954358"
"9.521484375e-05","307.067065122"
"9.70458984375e-05","-75.1161058961"
"9.8876953125e-05","-395.2444442"
"0.000100708007812","165.752622524"
"0.0001025390625","558.957272713"
"0.000104370117187","14.9335940244"
"0.000106201171875","-502.245067575"
"0.000108032226563","-297.368567287"
"0.00010986328125","704.920426276"
"0.000111694335938","249.856823357"
"0.000113525390625","-250.427738111"
"0.000115356445312","-704.065995864"
"0.0001171875","301.62291912"
"0.000119018554687","447.12579545"
"0.000120849609375","-17.0150649183"
"0.000122680664062","-554.107964533"
"0.00012451171875","-125.957533717"
"0.000126342773437","408.421789356"
"0.000128173828125","78.3691101079"
"0.000130004882812","-345.76817635"
"0.0001318359375","-349.661515876"
"0.000133666992187","721.15175788"
"0.000135498046875","163.953815862"
"0.000137329101563","-318.654427838"
"0.00013916015625","-471.679359289"
"0.000140991210938","587.09791553"
"0.000142822265625","488.94242538"
"0.000144653320313","-57.3136132889"
"0.000146484375","-655.68572996"
"0.000148315429688","-95.9416751432"
"0.000150146484375","557.295547513"
"0.000151977539063","103.44697033"
"0.00015380859375","-363.690828864"
"0.000155639648437","-647.307640343"
"0.000157470703125","443.795618673"
"0.000159301757812","292.482054799"
"0.0001611328125","-247.376038741"
"0.000162963867187","-511.484258231"
"0.000164794921875","590.262364236"
