"Study title: SC_Tr_PWMPilot_2tone"
"Torque: Nm <Value> "
"Case Range","26","",""
"Time s","Torque"
"0","301.018984357"
"1.8310546875e-06","-192.616009438"
"3.662109375e-06","-530.26541872"
"5.4931640625e-06","360.207867955"
"7.32421875e-06","698.065895956"
"9.1552734375e-06","-17.8969285092"
"1.0986328125e-05","-600.498528638"
"1.28173828125e-05","-452.157415001"
"1.46484375e-05","639.758648827"
"1.64794921875e-05","282.57482764"
"1.8310546875e-05","-229.754454501"
"2.01416015625e-05","-862.481707962"
"2.197265625e-05","349.85077019"
"2.38037109375e-05","434.745177169"
"2.5634765625e-05","-103.085905338"
"2.74658203125e-05","-483.412944356"
"2.9296875e-05","109.114095795"
"3.11279296875e-05","462.62869049"
"3.2958984375e-05","10.51897248"
"3.47900390625e-05","-443.712886952"
"3.662109375e-05","-260.141753088"
"3.84521484375e-05","809.598468075"
"4.0283203125e-05","145.658284423"
"4.21142578125e-05","-306.108048201"
"4.39453125e-05","-616.223811354"
"4.57763671875e-05","453.312826519"
"4.7607421875e-05","546.619504113"
"4.94384765625e-05","-17.0185005467"
"5.126953125e-05","-674.841488414"
"5.31005859375e-05","-204.021152815"
"5.4931640625e-05","481.281578544"
"5.67626953125e-05","90.3560756466"
"5.859375e-05","-268.765642057"
"6.04248046875e-05","-584.988927133"
"6.2255859375e-05","497.560640901"
"6.40869140625e-05","245.541713451"
"6.591796875e-05","-222.782227656"
"6.77490234375e-05","-418.968155896"
"6.9580078125e-05","497.440477742"
"7.14111328125e-05","388.94495222"
"7.32421875e-05","-43.8836185843"
"7.50732421875e-05","-553.415864252"
"7.6904296875e-05","-27.5327900467"
"7.87353515625e-05","684.161966416"
"8.056640625e-05","92.6198329922"
"8.23974609375e-05","-423.104718225"
"8.4228515625e-05","-598.184755226"
"8.60595703125e-05","429.302715175"
"8.7890625e-05","333.929882936"
"8.97216796875e-05","-100.59074907"
"9.1552734375e-05","-660.343568684"
"9.33837890625e-05","182.947520857"
"9.521484375e-05","356.831351839"
"9.70458984375e-05","-1.86712478501"
"9.8876953125e-05","-361.953591393"
"0.000100708007812","-65.1284306222"
"0.0001025390625","572.535694736"
"0.000104370117187","69.8828064282"
"0.000106201171875","-422.208020549"
"0.000108032226563","-342.143532928"
"0.00010986328125","680.60412528"
"0.000111694335938","298.461856101"
"0.000113525390625","-188.273373826"
"0.000115356445312","-646.519568002"
"0.0001171875","206.137335255"
"0.000119018554687","468.278970441"
"0.000120849609375","20.4113699915"
"0.000122680664062","-499.706505288"
"0.00012451171875","-250.731283664"
"0.000126342773437","396.017525788"
"0.000128173828125","119.304029506"
"0.000130004882812","-295.631513616"
"0.0001318359375","-383.350403261"
"0.000133666992187","638.015245752"
"0.000135498046875","170.569209378"
"0.000137329101563","-258.083305245"
"0.00013916015625","-427.287443809"
"0.000140991210938","482.327613311"
"0.000142822265625","464.056649716"
"0.000144653320313","-46.6234670382"
"0.000146484375","-587.166399856"
"0.000148315429688","-103.873301498"
"0.000150146484375","519.207438502"
"0.000151977539063","98.4426009614"
"0.00015380859375","-330.710779002"
"0.000155639648437","-553.51765128"
"0.000157470703125","402.119332855"
"0.000159301757812","262.096846997"
"0.0001611328125","-234.824677091"
"0.000162963867187","-455.044366662"
"0.000164794921875","536.997986243"
"0.000166625976562","272.647612236"
"0.00016845703125","-107.13936377"
"0.000170288085938","-460.413694233"
"0.000172119140625","199.425015099"
"0.000173950195313","597.966069976"
"0.00017578125","5.96259879646"
"0.000177612304688","-491.071061389"
"0.000179443359375","-392.274090611"
"0.000181274414063","501.19462647"
"0.00018310546875","249.592522889"
"0.000184936523437","-182.547458943"
"0.000186767578125","-708.295836621"
"0.000188598632812","321.542871202"
"0.0001904296875","351.0788701"
"0.000192260742187","-113.82780222"
"0.000194091796875","-420.715577061"
"0.000195922851562","214.449792237"
"0.00019775390625","414.690110871"
"0.000199584960938","-16.5598613224"
"0.000201416015625","-445.543644554"
"0.000203247070313","-140.9180611"
"0.000205078125","695.004158665"
"0.000206909179688","118.427898278"
"0.000208740234375","-339.700451752"
"0.000210571289063","-604.45375087"
"0.00021240234375","415.020862799"
"0.000214233398437","442.510389304"
"0.000216064453125","-58.7750084942"
"0.000217895507812","-665.420068139"
"0.0002197265625","8.28805892161"
"0.000221557617187","403.723597274"
"0.000223388671875","10.8849639432"
"0.000225219726562","-331.451764773"
"0.00022705078125","-288.580785048"
"0.000228881835938","556.649886217"
"0.000230712890625","135.10637198"
"0.000232543945313","-330.883853679"
"0.000234375","-384.281232594"
"0.000236206054688","651.896786475"
"0.000238037109375","349.643839983"
"0.000239868164063","-120.629209742"
