speed,Irms,phase,Lab_AC_W,json_Hyb_W,json_TS_W,ratio,AF
2000,0.1,18,0.644179216606304,0.635430530251721,NaN,1.01376812403256,NaN
2000,0.1,36,0.634883033796783,0.636193074741066,NaN,0.997940812315795,NaN
2000,0.1,0,0.65093426436589,0.634387732427377,NaN,1.02608267955498,NaN
2000,0.1,54,0.634500082671085,0.636512047632011,NaN,0.996839077958679,NaN
2000,0.1,72,0.654340030430067,0.637048915537494,NaN,1.02714252307923,NaN
2000,0.1,90,0.638902364742582,0.637129251668262,NaN,1.00278297232418,NaN
2000,230.075,0,372.798236010522,373.723357564371,NaN,0.997524581926379,NaN
2000,230.075,18,425.330659227755,423.183446522729,NaN,1.00507395249665,NaN
2000,230.075,36,466.820701891001,464.469159732355,832.656542334197,1.00506285963098,1.79270576934323
2000,230.075,54,484.91769421244,480.810971898874,637.545948871267,1.00854124084845,1.32598044997475
2000,230.075,72,488.689194448987,491.325991634002,522.949128536102,0.994633304099696,1.06436284145467
2000,230.075,90,508.620988902302,510.434506540219,451.207822011381,0.996447110031395,0.883968102136584
2000,460.05,36,1603.6961575,1596.56770158512,3327.61465279278,1.00446486291048,2.08423022054688
2000,460.05,0,1148.96728830106,1148.52459826894,3696.80000489491,1.00038544236039,3.21873820592675
2000,460.05,18,1337.94413354324,1345.70263422962,3484.92158328115,0.994234609869197,2.58966691053271
2000,460.05,54,1826.81665335526,1846.15000198437,2860.16339365731,0.989527747686631,1.54925839752079
2000,460.05,72,1932.60849836854,1910.76581035367,2127.08743426626,1.01143137892488,1.11321200261195
2000,460.05,90,1891.08415387495,1893.01552287203,2284.62681555385,0.998979739482459,1.20687167535091
2000,690.025,0,2116.66086610429,2116.85765338399,7409.89867508139,0.999907038019592,3.50042368849695
2000,690.025,18,2414.18551693799,2421.07062780112,7028.92282657519,0.997156170999696,2.90322915236845
2000,690.025,36,2917.35516135911,2906.35538783171,6828.27129976715,1.00378473106677,2.3494275092288
2000,690.025,54,3568.46723737823,3588.41679240447,6062.46350603097,0.9944405691478,1.68945355479978
2000,690.025,90,3915.12419653281,3913.46454495554,4876.77058493994,1.00042408754652,1.24615172283242
2000,690.025,72,4076.10233506192,4021.5440241635,4831.83123446273,1.01356650842826,1.20148659455935
2000,920,0,3297.70578237546,3297.72565814451,12054.6739201288,0.999993972885827,3.65545080754579
2000,920,18,3660.70402150195,3648.37093320426,11635.8599134079,1.00338043705629,3.18933028643238
2000,920,36,4232.19179909896,4260.9286078281,11093.5456487423,0.993255740385712,2.60355116684222
2000,920,54,5272.61102133593,5206.70256984169,9773.73122597136,1.01265838611101,1.87714414158835
4000,0.1,0,2.60373705746356,2.5372358229695,7.5819676931285,1.02621011176495,2.98827867102034
4000,0.1,18,2.57671686642521,2.54203883769764,7.57754600098704,1.01364181703808,2.98089308810487
2000,920,72,6373.63873526422,6407.55055990677,8299.58810200003,0.994707521333543,1.29528249904606
2000,920,90,6458.18712881712,6457.95889167017,8580.31945136954,1.00003534199439,1.32864262459721
4000,0.1,36,2.53953213518713,2.54449412316587,7.57305417129623,0.998049911794426,2.97625139014816
4000,0.1,72,2.61736012172027,2.54737685758193,7.56748083615165,1.02747267799424,2.9706954483896
4000,0.1,54,2.53800033068434,2.54615876860857,7.56974476868841,0.996795785861897,2.973005792889
4000,0.1,90,2.55560945897033,2.54720727480553,7.56628407478445,1.00329858674946,2.97042339256122
4000,230.075,0,1491.19294404209,1495.11148951519,3162.43727283876,0.997379094802908,2.11518491765736
4000,230.075,18,1701.32263691102,1692.86660625964,3108.66198049493,1.00499509566797,1.83633014497431
4000,230.075,36,1867.28280756401,1857.98399989133,2777.63723572633,1.00500478350364,1.49497371123152
4000,230.075,54,1939.67077684976,1923.27582923066,2192.79022699114,1.00852449106359,1.14013299271186
4000,230.075,72,1954.75677779595,1965.32997455022,1863.98903337737,0.994620141710966,0.948435660939819
4000,460.05,0,4595.86915320423,4595.08150445013,12263.2258820264,1.00017141126949,2.66877222311509
4000,230.075,90,2034.48395560921,2041.8029593344,1687.79739106844,0.996415421139571,0.826621091595753
4000,460.05,18,5351.77653417295,5383.80966623203,11562.4792930428,0.994050099456524,2.14763894154063
4000,460.05,36,6414.78463,6387.00992302682,11076.3787394247,1.00434862436538,1.73420409125896
4000,460.05,54,7307.26661342105,7385.12380946715,9752.92751938556,0.989457563873703,1.32061801142495
4000,460.05,72,7730.43399347415,7643.16778261978,7579.70990283816,1.01141754483695,0.991697437294792
4000,460.05,90,7564.3366154998,7571.96885134215,7722.45065308792,0.998992040776687,1.01987353681719
