time_s,Center_WJ,Center_ATF,Tip_WJ,Tip_ATF
45.0,87.49692501808963,88.16456937100943,97.50103733864017,86.72353330199513
65.19884189615135,92.63749998511267,93.76681069541733,104.83411600442203,91.32405570202411
85.3976837923027,96.80521201580498,98.47652739299477,110.02861843780732,95.09547994033582
130.3976837923027,103.6563082568275,106.451057741474,117.68403873302448,101.44444034427177
175.3976837923027,109.13379037293387,112.86367880616893,123.57737446369883,106.5492753965392
220.3976837923027,113.76386268000353,118.26312246414204,128.50943024960085,110.85198696952644
265.3976837923027,117.81808793710462,122.96387228357207,132.8222842644091,114.60194641338113
310.3976837923027,121.44528181882708,127.14932677140166,136.6839232958839,117.94356495046486
355.3976837923027,124.73349097110723,130.9308148406718,140.1883345781368,120.96432717411186
400.3976837923027,127.73928989153585,134.37983183936052,143.39450382081122,123.7204854288332
445.3976837923027,130.50199642196202,137.5453316143971,146.3431691638519,126.25066919853771
490.3976837923027,133.05085031274808,140.46302440553345,149.06468320633607,128.58315002098016
535.3976837923027,135.40881528728423,143.16046122650798,151.58300186878913,130.73980190531933
580.3976837923027,137.5946977382441,145.65989135532226,153.9178529010011,132.7383271692841
625.3976837923027,139.62438871550413,147.97992523938646,156.08598980571253,134.59355449140472
670.3976837923027,141.51162817466877,150.13654128525454,158.10195838962792,136.31822737341818
715.3976837923027,143.26849716964853,152.14372151088634,159.9785896772648,137.9235037639005
760.3976837923027,144.9057486386182,154.01387028456415,161.727331914052,139.41928633355644
805.3976837923027,146.43303881411552,155.75810194717837,163.35848399398844,140.81445001813046
850.3976837923027,147.85909537998572,157.38644651537734,164.8813662616478,142.11700515201233
875.1988418961514,148.61568040851935,158.2502740687158,165.68927299417498,142.80802941031928
900.0,149.34420837977473,159.08199228962732,166.46717060526163,143.4733929387228
