"Study title: REF_OnLoad_FPref_121"
"Torque: Nm <Value> "
"Case Range","1","","","2","","","3","","","4","","","5","","","6","","","7","","","8","","","9","","","10","","","11","","","12","","","13","","","14","","","15","","","16","","","17","","","18","","","19","","","20","","","21","","","22","","","23","","","24","","","25","","","26","","","27","","","28","","","29","","","30","",""
"Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque","","Time s","Torque"
"0","0.0876440037892","","0","0.16003227635","","0","0.122979771029","","0","0.0674802983794","","0","0.00197170759826","","0","133.619772639","","0","145.82496491","","0","132.431946475","","0","81.68733508","","0","0.000118991328721","","0","228.395322416","","0","277.342383727","","0","285.219386692","","0","199.037232309","","0","-0.00187203014698","","0","299.305873177","","0","392.473522269","","0","431.136041762","","0","330.498090194","","0","-0.00095305455669","","0","372.340069213","","0","492.754438567","","0","540.5706571","","0","447.758122931","","0","-0.00129817964002","","0","442.408870006","","0","572.519597516","","0","621.588254103","","0","523.115597044","","0","-0.0037857972746"
"7.8125e-06","-3.70506087975","","7.8125e-06","-3.63761227724","","7.8125e-06","-3.6742402454","","7.8125e-06","-3.72795043639","","7.8125e-06","-3.79058602225","","7.8125e-06","119.904495058","","7.8125e-06","133.633317231","","7.8125e-06","121.214126315","","7.8125e-06","72.3345518192","","7.8125e-06","-6.73824327996","","7.8125e-06","209.508085311","","7.8125e-06","263.909301555","","7.8125e-06","270.535886063","","7.8125e-06","186.511879869","","7.8125e-06","-2.38017334529","","7.8125e-06","287.684812227","","7.8125e-06","383.382815301","","7.8125e-06","413.943927823","","7.8125e-06","318.108662608","","7.8125e-06","5.54758875079","","7.8125e-06","365.163734461","","7.8125e-06","474.743235622","","7.8125e-06","511.961591155","","7.8125e-06","431.562676154","","7.8125e-06","18.8870392392","","7.8125e-06","424.908884801","","7.8125e-06","553.45084832","","7.8125e-06","591.227921717","","7.8125e-06","505.367823832","","7.8125e-06","34.620643218"
"1.5625e-05","-9.85385016692","","1.5625e-05","-9.79189411477","","1.5625e-05","-9.82705920888","","1.5625e-05","-9.87788783307","","1.5625e-05","-9.93668107224","","1.5625e-05","112.325178426","","1.5625e-05","126.204161793","","1.5625e-05","114.612966706","","1.5625e-05","66.0352432979","","1.5625e-05","-14.3551502761","","1.5625e-05","205.063982017","","1.5625e-05","262.584700974","","1.5625e-05","269.916905364","","1.5625e-05","187.53920738","","1.5625e-05","-9.12716377246","","1.5625e-05","293.475294723","","1.5625e-05","387.277879846","","1.5625e-05","412.422910436","","1.5625e-05","328.569088655","","1.5625e-05","2.3691304018","","1.5625e-05","370.872347667","","1.5625e-05","473.217119524","","1.5625e-05","507.086632708","","1.5625e-05","447.983023652","","1.5625e-05","24.5009745168","","1.5625e-05","428.51807607","","1.5625e-05","549.63756066","","1.5625e-05","590.664066076","","1.5625e-05","529.19658127","","1.5625e-05","48.0719916831"
"2.34375e-05","-10.3185000196","","2.34375e-05","-10.258431822","","2.34375e-05","-10.2934221543","","2.34375e-05","-10.3436000644","","2.34375e-05","-10.4012936907","","2.34375e-05","110.860150629","","2.34375e-05","125.371857012","","2.34375e-05","114.72483581","","2.34375e-05","65.2172857026","","2.34375e-05","-16.2605058533","","2.34375e-05","210.169872453","","2.34375e-05","268.413723565","","2.34375e-05","278.523643209","","2.34375e-05","195.670630393","","2.34375e-05","-13.0576354549","","2.34375e-05","308.222352632","","2.34375e-05","389.306573341","","2.34375e-05","416.903216561","","2.34375e-05","345.850818322","","2.34375e-05","-2.99946821681","","2.34375e-05","380.051687339","","2.34375e-05","480.952647852","","2.34375e-05","517.607975074","","2.34375e-05","474.476472982","","2.34375e-05","15.514958823","","2.34375e-05","442.788840389","","2.34375e-05","556.939325978","","2.34375e-05","614.130003927","","2.34375e-05","568.216453889","","2.34375e-05","32.6508793783"
"3.125e-05","-6.1672183589","","3.125e-05","-6.10883649751","","3.125e-05","-6.14220341359","","3.125e-05","-6.19033743","","3.125e-05","-6.24592039397","","3.125e-05","113.422572409","","3.125e-05","129.623013067","","3.125e-05","120.132811734","","3.125e-05","70.1958699505","","3.125e-05","-10.5838144489","","3.125e-05","218.759022623","","3.125e-05","277.553258803","","3.125e-05","290.332423015","","3.125e-05","205.469217861","","3.125e-05","-9.97493153612","","3.125e-05","317.241233443","","3.125e-05","392.845552462","","3.125e-05","425.264636625","","3.125e-05","358.834919037","","3.125e-05","-6.55504909168","","3.125e-05","387.492724317","","3.125e-05","488.642089046","","3.125e-05","535.269710628","","3.125e-05","490.987351837","","3.125e-05","-2.90521814288","","3.125e-05","450.343813991","","3.125e-05","567.17531089","","3.125e-05","644.582587217","","3.125e-05","598.926050192","","3.125e-05","-0.407578948459"
"3.90625e-05","-0.094924525363","","3.90625e-05","-0.0367272882405","","3.90625e-05","-0.0677371869065","","3.90625e-05","-0.113517388685","","3.90625e-05","-0.167098379594","","3.90625e-05","121.246875162","","3.90625e-05","138.292317276","","3.90625e-05","128.203142525","","3.90625e-05","77.5182104953","","3.90625e-05","-1.36667413419","","3.90625e-05","230.923709756","","3.90625e-05","287.77729125","","3.90625e-05","300.446685573","","3.90625e-05","213.492745525","","3.90625e-05","-4.54484945691","","3.90625e-05","322.975478409","","3.90625e-05","401.832068454","","3.90625e-05","433.135947739","","3.90625e-05","361.9502465","","3.90625e-05","-14.558523884","","3.90625e-05","397.421655597","","3.90625e-05","494.693578942","","3.90625e-05","548.540454048","","3.90625e-05","497.274163389","","3.90625e-05","-26.7364214573","","3.90625e-05","455.126850983","","3.90625e-05","577.526893504","","3.90625e-05","668.576879772","","3.90625e-05","612.228344486","","3.90625e-05","-40.5207831137"
"4.6875e-05","6.01477612425","","4.6875e-05","6.07423132574","","4.6875e-05","6.04509134769","","4.6875e-05","6.00081403306","","4.6875e-05","5.94814739369","","4.6875e-05","133.418879615","","4.6875e-05","149.707521497","","4.6875e-05","138.021513687","","4.6875e-05","86.3574742579","","4.6875e-05","7.23708933651","","4.6875e-05","243.934477624","","4.6875e-05","295.461673915","","4.6875e-05","305.45066948","","4.6875e-05","218.312777226","","4.6875e-05","-2.53546693728","","4.6875e-05","330.151117028","","4.6875e-05","403.837919509","","4.6875e-05","432.2331805","","4.6875e-05","361.895141725","","4.6875e-05","-23.0497437672","","4.6875e-05","399.745072154","","4.6875e-05","493.340394566","","4.6875e-05","554.183222139","","4.6875e-05","493.281740844","","4.6875e-05","-48.2837812144","","4.6875e-05","459.90591953","","4.6875e-05","584.188962357","","4.6875e-05","678.532429637","","4.6875e-05","609.770045401","","4.6875e-05","-74.6973132042"
"5.46875e-05","10.2571205247","","5.46875e-05","10.3174775902","","5.46875e-05","10.2885462034","","5.46875e-05","10.2442248218","","5.46875e-05","10.1912643343","","5.46875e-05","143.07461753","","5.46875e-05","158.083031639","","5.46875e-05","144.06950308","","5.46875e-05","91.5626185223","","5.46875e-05","11.9208138656","","5.46875e-05","252.303432446","","5.46875e-05","299.557334953","","5.46875e-05","305.449268775","","5.46875e-05","219.946997923","","5.46875e-05","-2.18891719445","","5.46875e-05","332.025485165","","5.46875e-05","397.624986697","","5.46875e-05","430.12015279","","5.46875e-05","357.388370812","","5.46875e-05","-28.7707813031","","5.46875e-05","395.721320037","","5.46875e-05","491.76423473","","5.46875e-05","556.202420023","","5.46875e-05","480.35165091","","5.46875e-05","-58.3166845345","","5.46875e-05","458.087781901","","5.46875e-05","590.239286411","","5.46875e-05","679.895326181","","5.46875e-05","590.588248892","","5.46875e-05","-92.9015748515"
"6.25e-05","9.82415826543","","6.25e-05","9.88456822067","","6.25e-05","9.85543391536","","6.25e-05","9.81092800075","","6.25e-05","9.75775656088","","6.25e-05","145.65554338","","6.25e-05","160.089595171","","6.25e-05","144.580479915","","6.25e-05","91.6393343365","","6.25e-05","11.5379751211","","6.25e-05","255.359795729","","6.25e-05","294.494888757","","6.25e-05","298.692975113","","6.25e-05","214.578750128","","6.25e-05","-2.65801151378","","6.25e-05","325.55499579","","6.25e-05","390.537105539","","6.25e-05","424.894340584","","6.25e-05","341.180015678","","6.25e-05","-24.9543967009","","6.25e-05","388.958497897","","6.25e-05","492.031029451","","6.25e-05","549.741319783","","6.25e-05","451.707924998","","6.25e-05","-51.2625162457","","6.25e-05","452.192183525","","6.25e-05","586.593446388","","6.25e-05","660.193835323","","6.25e-05","549.494870529","","6.25e-05","-82.8644461039"
"7.03125e-05","3.74234290912","","7.03125e-05","3.80601294155","","7.03125e-05","3.77499732853","","7.03125e-05","3.72776031982","","7.03125e-05","3.67152869373","","7.03125e-05","141.10251576","","7.03125e-05","154.227256754","","7.03125e-05","137.377419033","","7.03125e-05","84.6017932065","","7.03125e-05","6.33121066778","","7.03125e-05","245.312097757","","7.03125e-05","280.587541711","","7.03125e-05","285.133404028","","7.03125e-05","199.391380539","","7.03125e-05","-2.73417250337","","7.03125e-05","313.854780935","","7.03125e-05","382.79408787","","7.03125e-05","406.279938664","","7.03125e-05","313.157769132","","7.03125e-05","-13.2835791185","","7.03125e-05","376.778684189","","7.03125e-05","482.572593083","","7.03125e-05","524.953025488","","7.03125e-05","417.423818073","","7.03125e-05","-29.4275268731","","7.03125e-05","439.61500833","","7.03125e-05","563.03882102","","7.03125e-05","620.905797015","","7.03125e-05","507.527056872","","7.03125e-05","-47.0093879584"
